iteration,train_limit,base_hidden_sizes,final_hidden_sizes,val_error,master_val_error,growth_steps,final_train_loss
24,12000,"[16, 16]","[16, 16]",6.9277658606150965,5.910340554383585,0,0.07710455358028412
25,12500,"[16, 16]","[16, 16]",5.718329509030494,5.848192178235803,0,0.07763627171516418
26,13000,"[16, 16]","[16, 16]",6.097644950678888,5.866394193017173,0,0.07774108648300171
27,13500,"[16, 16]","[16, 16]",5.7112031976466024,5.845915712925813,0,0.0781128853559494
28,14000,"[16, 16]","[16, 16]",5.532176596881126,5.7377596230366965,0,0.07771319895982742
29,14500,"[16, 16]","[16, 16]",6.223500802033727,5.772144598540994,0,0.07811105251312256
30,15000,"[16, 16]","[16, 16]",5.156672333050312,5.76996840735186,0,0.07800766825675964
31,15500,"[16, 16]","[16, 16]",6.090243775819449,5.823795301329803,0,0.07781553268432617
32,16000,"[16, 16]","[16, 16]",4.948441120494453,5.811806695323973,0,0.07851873338222504
33,16500,"[16, 16]","[16, 16]",6.3947232900270965,5.835334245727065,0,0.07845298945903778
34,17000,"[16, 16]","[16, 16]",4.412987762023689,5.900445934256719,0,0.07792335748672485
35,17500,"[16, 16]","[32, 32]",3.950114822749921,4.798259672881359,2,0.07834168523550034
36,18000,"[32, 32]","[32, 32]",5.4800344812881745,4.7771593872604186,0,0.06387654691934586
37,18500,"[32, 32]","[32, 32]",5.085357966206511,4.749333283305464,0,0.06327839940786362
38,19000,"[32, 32]","[32, 32]",4.2225492462886995,4.745997729700864,0,0.06280194222927094
39,19500,"[32, 32]","[32, 32]",5.563897998895079,4.767383625959121,0,0.06302277743816376
40,20000,"[32, 32]","[32, 32]",7.21313920366886,4.780111442721479,0,0.06359836459159851
41,20500,"[32, 32]","[32, 32]",4.296572992283039,4.728094693882607,0,0.06309648603200912
42,21000,"[32, 32]","[32, 32]",4.037033450470903,4.719949130088031,0,0.0639270767569542
43,21500,"[32, 32]","[32, 32]",4.027139456195587,4.71464154053463,0,0.0634133368730545
44,22000,"[32, 32]","[32, 32]",4.962478167772238,4.724837483048711,0,0.06298154592514038
45,22500,"[32, 32]","[32, 32]",3.9770084079973422,4.616276097574702,0,0.06345988065004349
46,23000,"[32, 32]","[32, 32]",8.042926465771568,4.578692292938916,0,0.06267543137073517
47,23500,"[32, 32]","[64, 32]",4.403022929156707,4.280781608747038,1,0.06372980773448944
48,24000,"[64, 32]","[64, 32]",3.576939839325119,4.3536857720204765,0,0.05546159669756889
49,24500,"[64, 32]","[64, 32]",4.432890414407894,4.316402593437671,0,0.05431472510099411
50,25000,"[64, 32]","[64, 32]",4.0563336025019625,4.278418834705468,0,0.054871343076229095
51,25500,"[64, 32]","[64, 32]",3.793211042409726,4.1332316414527055,0,0.0538850836455822
52,26000,"[64, 32]","[64, 32]",6.780477235207077,4.270683503910706,0,0.0539340078830719
53,26500,"[64, 32]","[64, 32]",4.545316862519385,4.2874694071378245,0,0.05454578623175621
54,27000,"[64, 32]","[64, 32]",4.6214877261478255,4.248532697884375,0,0.05455722287297249
55,27500,"[64, 32]","[64, 32]",3.4783598851886186,4.275299536172528,0,0.054719675332307816
56,28000,"[64, 32]","[64, 32]",4.481373657097816,4.286231700066336,0,0.05357944592833519
57,28500,"[64, 32]","[64, 32]",4.063303715154637,4.174470629619304,0,0.054244838654994965
58,29000,"[64, 32]","[64, 32]",3.1471652621946653,4.141972176811233,0,0.05407879874110222
59,29500,"[64, 32]","[64, 32]",5.609096910607126,4.197182298805474,0,0.054127950221300125
60,30000,"[64, 32]","[64, 32]",4.507601954261692,4.225330938082622,0,0.054239947348833084
61,30500,"[64, 32]","[64, 32]",3.825277971737105,4.1921102069100735,0,0.053722452372312546
62,31000,"[64, 32]","[64, 32]",4.44582167593353,4.141728888276429,0,0.053922928869724274
63,31500,"[64, 32]","[64, 32]",13.48083770628803,4.136766384173386,0,0.05389675870537758
64,32000,"[64, 32]","[64, 32]",4.866386197244672,4.069250219838789,0,0.054446183145046234
65,32500,"[64, 32]","[64, 32]",3.2674641442556456,4.1281195416569085,0,0.05340433120727539
66,33000,"[64, 32]","[64, 32]",4.071384858267153,4.046865042361634,0,0.05329190567135811
67,33500,"[64, 32]","[64, 32]",3.6161219318884603,4.127474679719655,0,0.05381295457482338
